snapped_at,price,market_cap,total_volume,Yesterday_Price,Day_Change,Tomorrow Price
2019-01-04 00:00:00 UTC,3776.525807694106,65922288582.92172,2261199754.98875,3872.1721842228935,-95.64637652878764,3815.268079882635
2019-01-05 00:00:00 UTC,3815.268079882635,66650769533.12984,2950054796.074141,3776.525807694106,38.74227218852912,3787.307857124285
2019-01-06 00:00:00 UTC,3787.307857124285,66070973627.255455,2763831883.889694,3815.268079882635,-27.960222758350028,4013.5200912973855
2019-01-07 00:00:00 UTC,4013.5200912973855,70084169300.15211,3435733235.508936,3787.307857124285,226.21223417310057,3989.668717538764
2019-01-08 00:00:00 UTC,3989.668717538764,69602133073.71902,3360163853.3972144,4013.5200912973855,-23.85137375862132,3973.5912546157865
2019-01-09 00:00:00 UTC,3973.5912546157865,69418693910.45465,3482430797.632785,3989.668717538764,-16.077462922977702,3982.225912762408
2019-01-10 00:00:00 UTC,3982.225912762408,69609283899.19995,3230523440.813054,3973.5912546157865,8.634658146621405,3623.84772910568
2019-01-11 00:00:00 UTC,3623.84772910568,63326376681.34885,4144535969.992497,3982.225912762408,-358.37818365672774,3632.849306434781
2019-01-12 00:00:00 UTC,3632.849306434781,63121578243.94881,3263342032.794205,3623.84772910568,9.001577329100655,3598.4363465618803
2019-01-13 00:00:00 UTC,3598.4363465618803,62924488425.99548,2456062889.7924027,3632.849306434781,-34.4129598729005,3495.832311307438
2019-01-14 00:00:00 UTC,3495.832311307438,61050348901.5798,2675674829.818869,3598.4363465618803,-102.60403525444237,3648.04828565649
2019-01-15 00:00:00 UTC,3648.04828565649,63758350560.63251,3101461657.547051,3495.832311307438,152.21597434905198,3567.801243199206
2019-01-16 00:00:00 UTC,3567.801243199206,62348810149.49811,2953789408.2270346,3648.04828565649,-80.2470424572839,3597.6473233295915
2019-01-17 00:00:00 UTC,3597.6473233295915,62969304894.27945,2753646523.928816,3567.801243199206,29.846080130385417,3620.981281145725
2019-01-18 00:00:00 UTC,3620.981281145725,63320099663.395294,3049367561.0957274,3597.6473233295915,23.33395781613353,3597.7932517701506
2019-01-19 00:00:00 UTC,3597.7932517701506,62898826371.85565,2649449860.3668847,3620.981281145725,-23.188029375574388,3674.587270857304
2019-01-20 00:00:00 UTC,3674.587270857304,64269861567.8863,2766880413.283615,3597.7932517701506,76.79401908715317,3539.167531041029
2019-01-21 00:00:00 UTC,3539.167531041029,61969431896.71978,2940644468.975576,3674.587270857304,-135.4197398162746,3531.004182799933
2019-01-22 00:00:00 UTC,3531.004182799933,61784404483.04622,2561594564.573847,3539.167531041029,-8.163348241096173,3571.266908092869
2019-01-23 00:00:00 UTC,3571.266908092869,62482350133.95662,2718371971.9030104,3531.004182799933,40.26272529293601,3555.7000025226243
2019-01-24 00:00:00 UTC,3555.7000025226243,62216525710.040085,2663764215.2983246,3571.266908092869,-15.566905570244671,3565.6420046170365
2019-01-25 00:00:00 UTC,3565.6420046170365,62397665388.19675,2514079887.672157,3555.7000025226243,9.942002094412146,3564.822417111422
2019-01-26 00:00:00 UTC,3564.822417111422,62386316357.47355,2582590473.407218,3565.6420046170365,-0.8195875056144359,3563.614563419144
2019-01-27 00:00:00 UTC,3563.614563419144,62374968460.904976,2548165746.089901,3564.822417111422,-1.2078536922781495,3553.121681129778
2019-01-28 00:00:00 UTC,3553.121681129778,62192208387.693,2882787006.773549,3563.614563419144,-10.492882289365753,3432.215668301249
2019-01-29 00:00:00 UTC,3432.215668301249,60087154448.40433,3445780457.599724,3553.121681129778,-120.90601282852911,3413.375483249797
2019-01-30 00:00:00 UTC,3413.375483249797,59768195291.00078,4865613085.112716,3432.215668301249,-18.840185051451957,3457.8826491759864
2019-01-31 00:00:00 UTC,3457.8826491759864,60555372963.791016,4973814467.106895,3413.375483249797,44.50716592618937,3431.943637864456
2019-02-01 00:00:00 UTC,3431.943637864456,60101226569.37371,4330022381.196439,3457.8826491759864,-25.93901131153052,3464.490147562154
2019-02-02 00:00:00 UTC,3464.490147562154,60678990333.1717,3765731026.21538,3431.943637864456,32.546509697698184,3486.581616258029
2019-02-03 00:00:00 UTC,3486.581616258029,61071179758.43584,3310421843.82123,3464.490147562154,22.091468695874937,3454.025843825187
2019-02-04 00:00:00 UTC,3454.025843825187,60524138032.473946,2375918195.082078,3486.581616258029,-32.55577243284188,3464.003508861087
2019-02-05 00:00:00 UTC,3464.003508861087,60723961265.783615,4454914648.715065,3454.025843825187,9.977665035899918,3469.894677079264
2019-02-06 00:00:00 UTC,3469.894677079264,60825168548.915,3653777871.7193217,3464.003508861087,5.891168218176972,3405.836861256719
